PMY,BMY
23227.65921,6043.609362
22464.94834,5845.159465
21632.19259,5628.484578
21130.20431,5497.872146
20797.49115,5411.303441
21289.75097,5539.384624
21406.49243,5569.759608
22017.43941,5728.722026
25208.37265,6558.971595
26654.02107,6935.11515
28066.59274,7302.652459
28019.89615,7290.502465
27492.61389,7153.308786
28416.81712,7393.777411
28481.02492,7410.483653
28471.29647,7407.952404
27757.22787,7222.158751
25782.3515,6708.315267
25457.4211,6623.771561
26827.18757,6980.171376
26529.49684,6902.715166
25570.27118,6653.134046
25070.22859,6523.027863
23708.24489,6168.653047
22190.6059,5773.778252
21474.59161,5587.478349
20672.96692,5378.903457
20618.48757,5364.728465
20192.38124,5253.859772
20669.07554,5377.890958
20980.3861,5458.890916
21836.49014,5681.6408
24832.85429,6461.265396
26416.64677,6873.352682
27803.92445,7234.308744
27580.16999,7176.090024
26858.31862,6988.271372
27586.00706,7177.608774
28138.5833,7321.383699
28344.82655,7375.046171
27482.88544,7150.777538
25733.70922,6695.659024
25064.39152,6521.509114
27027.59374,7032.315099
26708.50042,6949.290142
25585.83671,6657.184044
24624.66535,6407.096674
23577.88359,6134.734315
22515.5363,5858.321959
21525.17958,5600.640842
21159.38967,5505.465892
20651.56432,5373.33471
20338.30807,5291.828503
20628.21603,5367.259714
20564.00822,5350.553472
20949.25504,5450.79092
23840.55188,6203.07803
25457.4211,6623.771561
26447.77782,6881.452677
26475.0175,6888.540174
25681.17557,6681.990281
25842.66792,6724.009009
26671.53229,6939.671397
26761.03407,6962.958885
25920.49556,6744.258999
24253.03837,6310.402974
23990.37008,6242.059259
25521.6289,6640.477803
24895.1164,6477.465387
23908.65106,6220.79677
23299.64978,6062.340603
22322.91289,5808.203235
21145.76984,5501.922144
20682.69538,5381.434706
19849.93963,5164.759819
19458.85573,5063.003621
18877.09412,4911.63495
18807.04925,4893.40996
18781.75526,4886.828713
18559.94649,4829.116243
19801.29735,5152.103575
21381.19845,5563.178362
22505.80785,5855.79071
22435.76297,5837.565719
22134.18087,5759.09701
22200.33436,5776.309501
22229.51972,5783.903247
21883.18673,5693.790794
21414.27519,5571.784607
20949.25504,5450.79092
21209.97764,5518.628385
23175.12555,6029.940619
22988.33922,5981.340645
22256.7594,5790.990744
21770.33665,5664.428309
21361.74154,5558.115864
20262.42612,5272.084763
19419.94191,5052.878627
18738.95006,4875.691219
18345.92048,4773.428772
18110.49187,4712.172554
18024.88146,4689.897565
17999.58748,4683.316319
16865.24963,4388.172722
17176.56019,4469.17268
18104.6548,4710.653804
18781.75526,4886.828713
19056.0977,4958.209926
19091.12013,4967.322421
19312.92891,5025.034891
19610.61963,5102.491101
19674.82744,5119.197342
19458.85573,5063.003621
18939.35624,4927.834942
19454.96435,5061.991122
21696.40039,5645.190819
21490.15714,5591.528347
21114.63878,5493.822148
20639.89017,5370.297212
20276.04596,5275.628511
19587.27134,5096.416104
19063.88046,4960.234925
17991.80472,4681.29132
17217.4197,4479.803924
16898.32637,4396.778967
16810.77028,4373.997729
16655.115,4333.49775
15787.33681,4107.710367
16158.96379,4204.404067
16896.38068,4396.272718
17532.62164,4561.816382
17454.794,4541.566392
17421.71725,4532.960147
17733.02781,4613.960105
17579.31822,4573.966375
17511.21904,4556.247635
17375.02067,4520.810153
17303.0301,4502.078913
17997.64179,4682.810069
20244.9149,5267.528515
19953.06125,5191.591055
19616.45671,5104.00985
19116.41412,4973.903668
18783.70096,4887.334963
18063.79528,4700.02256
17425.60863,4533.972646
16676.5176,4339.066497
16121.99566,4194.785322
16055.84217,4177.572831
16069.462,4181.116579
15958.55762,4152.260344
